offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
4.956521739130434980e+02,2.000000000000000000e+02,2.551404783150357236e+00,5.132524821011522076e-02,9.008898432404635059e+00,3.665534739845280332e-01,1.006732464186128606e+00
5.478260869565217490e+02,2.000000000000000000e+02,2.348680510102788332e+00,5.157403146712063319e-02,8.716190802348464217e+00,4.385255076353657966e-01,1.004897152946914618e+00
6.000000000000000000e+02,2.000000000000000000e+02,2.150896240032159401e+00,5.025756335390869911e-02,8.008962400321593122e+00,5.025756335390868523e-01,9.879606419045824373e-01
-1.200000000000000000e+03,4.000000000000000000e+02,2.117625231377168404e+00,5.186171466028721699e-02,7.676252313771684044e+00,5.186171466028719479e-01,1.003880438316133494e+00
-1.095652173913043498e+03,4.000000000000000000e+02,2.190898545452816037e+00,5.141475091732968655e-02,7.374596705948512465e+00,4.371711713159713297e-01,1.005255378871953820e+00
-9.913043478260869961e+02,4.000000000000000000e+02,2.226816890147303329e+00,4.710348553260517573e-02,6.690764103925356920e+00,3.364025866581897839e-01,9.987596897243831151e-01
-8.869565217391304941e+02,4.000000000000000000e+02,2.405088910421664394e+00,5.315607128323722452e-02,6.855251965254837820e+00,3.145151287647117710e-01,9.958033356473802167e-01
-7.826086956521739921e+02,4.000000000000000000e+02,2.722898793734259471e+00,5.347109731872123212e-02,7.404127635533647833e+00,2.581572448998374902e-01,1.004180692741312830e+00
-6.782608695652173765e+02,4.000000000000000000e+02,2.944808123738305472e+00,5.627486986278913000e-02,7.098972880271316122e+00,2.180784181828312185e-01,1.001180346415449840e+00
-5.739130434782608745e+02,4.000000000000000000e+02,3.322671032476798292e+00,5.934537797704416556e-02,7.074823687235271663e+00,1.815138403910348253e-01,1.004616184701566883e+00
-4.695652173913043725e+02,4.000000000000000000e+02,3.758689253743295655e+00,6.636370482868036991e-02,6.871325295291238255e+00,1.578176572296406399e-01,9.871910029700753375e-01
-3.652173913043478706e+02,4.000000000000000000e+02,4.649482730183908785e+00,6.832665616571977074e-02,7.275043947596206095e+00,1.252870632906393222e-01,1.005224005492399320e+00
-2.608695652173913686e+02,4.000000000000000000e+02,5.589499501162250361e+00,7.291484385090307718e-02,7.328889648159427672e+00,1.039277736551624393e-01,9.972136982793332605e-01
-1.565217391304347530e+02,4.000000000000000000e+02,6.776952138764541722e+00,8.947122877699849319e-02,7.584954262091438082e+00,1.031709821436088553e-01,1.016614941904242730e+00
-5.217391304347825098e+01,4.000000000000000000e+02,7.158240551774748717e+00,1.002574989095997571e-01,7.254505513903240832e+00,1.019632030498386910e-01,9.723360964721131650e-01
5.217391304347825098e+01,4.000000000000000000e+02,7.448415665498645311e+00,9.858453248837838190e-02,7.549617444306750080e+00,1.002617740619046599e-01,9.977338147794885259e-01
1.565217391304347530e+02,4.000000000000000000e+02,7.180086022408985080e+00,9.324181367285379329e-02,8.049815640206958278e+00,1.075189155773928484e-01,1.022885260439035715e+00
2.608695652173912549e+02,4.000000000000000000e+02,6.025940515977589840e+00,8.413877857148503725e-02,7.950962474569190697e+00,1.199255936538746875e-01,9.956569838717582721e-01
3.652173913043477569e+02,4.000000000000000000e+02,4.975897551876350633e+00,7.299293645426047084e-02,7.873573960907484626e+00,1.338433806439180418e-01,9.965912532664188417e-01
4.695652173913042589e+02,4.000000000000000000e+02,4.121451370555752725e+00,6.471325600085307828e-02,7.733999667597610816e+00,1.538927713593065127e-01,1.002140865937515501e+00
5.739130434782607608e+02,4.000000000000000000e+02,3.446164201688505013e+00,5.892596864262721057e-02,7.452540034654063561e+00,1.802310345250865697e-01,9.942826557917660013e-01
6.782608695652172628e+02,4.000000000000000000e+02,3.075901348839791716e+00,5.493104398955619277e-02,7.606990104199567782e+00,2.128707753848584905e-01,1.007048861202389345e+00
7.826086956521737648e+02,4.000000000000000000e+02,2.725124827055312338e+00,5.554158083166494536e-02,7.414874873911657005e+00,2.681534923328397491e-01,9.984683386748816059e-01
