offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-3.391304347826086314e+02,2.000000000000000000e+02,-7.320113722611864659e+00,-7.320113722611864659e+00,-4.933572594906661379e+02,-4.933572594906661379e+02,-3.513127712590382590e+00,-4.962300602608527811e+02,-6.290367784703391862e+00,-6.290367784703391862e+00,-2.919264430593455639e+00
-3.913043478260868824e+02,2.000000000000000000e+02,-7.478095702038103809e+00,-7.478095702038103809e+00,-3.062272440540835916e+00,-4.936782548837219338e+02,-4.936782548837219338e+02,-4.957229607879382343e+02,-6.430404709701974753e+00,-6.430404709701974753e+00,-2.639190580596169955e+00
-4.434782608695652470e+02,2.000000000000000000e+02,-4.941180509269652816e+02,-4.941180509269652816e+02,-7.593176929527999164e+00,-7.593176929527999164e+00,-4.949611478626688381e+02,-2.714330824343776261e+00,-6.535224681260842772e+00,-6.535224681260842772e+00,-2.429550637478273600e+00
-4.956521739130434980e+02,2.000000000000000000e+02,-7.679308348508016024e+00,-7.679308348508016024e+00,-4.945258267426108887e+02,-4.945258267426108887e+02,-2.457869080122442096e+00,-4.942297951376399965e+02,-6.614942531968722506e+00,-6.614942531968722506e+00,-2.270114936063337030e+00
-5.478260869565217490e+02,2.000000000000000000e+02,-4.948497872436901162e+02,-4.948497872436901162e+02,-7.745219992677675691e+00,-7.745219992677675691e+00,-4.936367505643320328e+02,-2.271169362934998048e+00,-6.676579046651681892e+00,-6.676579046651681892e+00,-2.146841906697579017e+00
-6.000000000000000000e+02,2.000000000000000000e+02,-7.796632440830649102e+00,-7.796632440830649102e+00,-4.950924175290012954e+02,-4.950924175290012954e+02,-4.931860494651888303e+02,-2.133784995147533614e+00,-6.725000426700148637e+00,-6.725000426700148637e+00,-2.049999146599599253e+00
1.200000000000000000e+03,4.000000000000000000e+02,-4.957736586321489085e+02,-4.957736586321489085e+02,-7.802767741311754435e+00,-7.802767741311754435e+00,-2.053985527439764258e+00,-4.918910961256391374e+02,-6.725000106675452116e+00,-6.725000106675452116e+00,-2.049999786649698397e+00
1.095652173913043498e+03,4.000000000000000000e+02,-7.753378776419594942e+00,-7.753378776419594942e+00,-4.957487460191566697e+02,-4.957487460191566697e+02,-2.152243768109527444e+00,-4.919414410407393916e+02,-6.676578621157432281e+00,-6.676578621157432281e+00,-2.146842757688272485e+00
9.913043478260869961e+02,4.000000000000000000e+02,-7.690504525195592578e+00,-7.690504525195592578e+00,-4.957183344182785163e+02,-4.957183344182785163e+02,-2.277589081799435533e+00,-4.920026674312511545e+02,-6.614941959090288037e+00,-6.614941959090288037e+00,-2.270116081818425169e+00
8.869565217391304941e+02,4.000000000000000000e+02,-4.956807607961641224e+02,-4.956807607961641224e+02,-7.609168266114465951e+00,-7.609168266114465951e+00,-2.440136534414682590e+00,-4.920779397410307183e+02,-6.535223901944618774e+00,-6.535223901944618774e+00,-2.429552196110076778e+00
7.826086956521739921e+02,4.000000000000000000e+02,-7.502175820562797526e+00,-7.502175820562797526e+00,-4.956337289947314275e+02,-4.956337289947314275e+02,-4.921715452859717743e+02,-2.654579483442434107e+00,-6.430403644144348618e+00,-6.430403644144348618e+00,-2.639192711710727224e+00
6.782608695652173765e+02,4.000000000000000000e+02,-7.359127730914906351e+00,-7.359127730914906351e+00,-4.955740325651298690e+02,-4.955740325651298690e+02,-2.942285382654258097e+00,-4.922893284252547232e+02,-6.290366336419992876e+00,-6.290366336419992876e+00,-2.919267327159830838e+00
